"idx","us","br","gb"
"2001-01-01",0.9841097398647372,0.9735803523821578,0.1087099393566413
"2001-01-02",1.6365521627564175,1.6183466616403224,0.21904567154674304
"2001-01-03",2.26229897321946,2.17743608697435,0.6281323222341055
"2001-01-04",2.4727991545933516,2.874948870682819,1.2315882110345322
"2001-01-05",3.3421913670415586,3.867812974251067,2.1020552151635155
"2001-01-06",3.652527536425896,4.418473354606886,2.468947332937783
"2001-01-07",4.5242713069761855,4.512666394644107,3.355230304209109
"2001-01-08",4.654615144251218,4.570295094014162,3.388941953981064
"2001-01-09",5.548538134557095,4.729802562267935,4.051246937019005
"2001-01-10",6.419557541165144,5.70593715875501,4.621214394561981
"2001-01-11",6.986906209952696,6.258289754255381,4.816080655920519
"2001-01-12",7.040971692751549,6.726408396208539,5.196952732609138
"2001-01-13",7.395644935144263,7.053985287037754,5.684741658272258
"2001-01-14",7.918016919556776,7.86277054727555,6.005780143214718
"2001-01-15",8.708661021978015,8.166716334797785,6.954112951840728
"2001-01-16",9.046571507350135,8.656198948434636,7.474906936832467
"2001-01-17",9.895263978328952,9.57191650566032,7.56589265214653
"2001-01-18",10.68757931726724,10.393223777787915,8.564194016987521
"2001-01-19",10.83364237014041,11.023882660378783,9.099851508612222
"2001-01-20",11.549704648708355,11.137038357802133,10.060231738955045
"2001-01-21",12.395567775830607,12.027416770753542,10.377930517960827
"2001-01-22",12.880303946107862,12.495111210204106,10.93356205235962
"2001-01-23",13.266385963518509,12.786539278271183,11.440020620036291
"2001-01-24",14.224571464022377,12.849718673140151,12.297472719363894
"2001-01-25",14.650550717041703,13.59728238258645,12.725803627959614
"2001-01-26",14.694524674088504,14.139003848188622,13.706064069348493
"2001-01-27",15.123519500580812,14.486480517541482,14.653947718548899
"2001-01-28",15.328629492710638,14.946138255377582,15.471052031428949
"2001-01-29",15.70673477740407,15.787922126636248,15.919871600394151
"2001-01-30",16.097376072792596,16.434271082651485,16.648993336998245
"2001-01-31",16.80562126922704,16.74623885696739,16.754533524319655
"2001-02-01",16.99502432644697,17.457660840504772,17.32177536984881
"2001-02-02",17.208152501697306,17.47158245645634,17.93446077635731
"2001-02-03",17.425254964967028,18.459091107470893,18.00371034484189
"2001-02-04",18.398748228934437,19.329380513413128,18.69755019521132
"2001-02-05",19.195409493181796,20.223414320932207,19.127615547814695
"2001-02-06",19.799385194781873,20.63379985200852,20.123580457948854
"2001-02-07",20.03951935473409,20.859542568740924,20.741458260527924
"2001-02-08",20.70610911218482,21.377267873063843,20.787718334041422
"2001-02-09",20.8938008350917,22.304417560898777,20.8146636109885
"2001-02-10",21.18622963910749,22.504598938502678,21.379090644570297
"2001-02-11",21.878510111083216,23.4478716784157,21.64239211425995
"2001-02-12",22.382071705424018,24.38443147734654,22.163477476924285
"2001-02-13",23.032107192214664,24.92450744012952,23.038923512909385
"2001-02-14",23.287001975901347,25.150712803725096,23.17908998024503
"2001-02-15",23.837843845694515,26.090775494042497,23.472571805816912
"2001-02-16",24.0562464503758,26.87078789977373,23.634942230265676
"2001-02-17",24.156314452615902,27.750193159239473,24.09881128439355
"2001-02-18",24.409698301879153,28.285633646518257,24.727307306405837
"2001-02-19",25.09684356206295,28.9878675577434,25.182783845042326
"2001-02-20",25.441931162354003,29.62981192117083,26.171644470815924
"2001-02-21",25.781830579124914,30.524599313608714,26.42449850979867
"2001-02-22",26.419829853706233,30.604583583604843,26.983880681836645
"2001-02-23",26.949379499521307,31.23885294852521,27.719523885030043
"2001-02-24",27.65797186974855,31.371089881623273,28.13062235742697
"2001-02-25",28.262984395686487,31.47584999334379,28.340327920209393
"2001-02-26",28.36233727789454,32.2312988809708,29.09705472947479
"2001-02-27",28.445076505041584,32.78298834291934,29.203488783649483
"2001-02-28",29.406163882992605,33.36312202382232,29.32199993653368
"2001-03-01",30.366905359488346,33.52567216159691,29.83678526360028
"2001-03-02",31.26881557113151,33.92077960453776,30.031316969699436
"2001-03-03",31.827598309423536,34.34082828084138,30.510727906979163
"2001-03-04",32.12128584038565,34.6480083939844,30.615353478417155
"2001-03-05",32.36501564461122,35.49271777179893,31.314671452775023
